Category,Attribute,Value
,Commander Effect,After 1 of your units uses Sustain Damage: You may gain 1 trade good.
Hero,Hero Name,Darktalon Treilla
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Dark Matter Affinity
,Hero Effect,"ACTION: Place this card near the game board; the number of non-fighter ships you can have in systems is not limited by laws or by the number of command tokens in your fleet pool during this game round. At the end of that game round, purge this card."
,,
Faction Core,Faction Name,Clan of Saar
,Home System Name,Lisis II / Ragh
,Home System Planets,"1/0, 2/1"
,Commodities,3
Faction Abilities,Ability 1 Name,Scavenge
,Ability 1 Effect,"After you gain control of a planet, gain 1 trade good."
,Ability 2 Name,Nomadic
,Ability 2 Effect,You can score objectives even if you do not control the planets in your home system.
Promissory Note,PN Name,Ragh's Call
,PN Text,"After you commit 1 or more units to land on a planet: Remove all of the Saar player's ground forces from that planet and place them on a planet controlled by the Saar player. Then, return this card to the Saar player."
Starting Assets,Starting Fleet Units,"2 Carriers, 1 Cruiser, 2 Fighters, 4 Infantry, 1 Space Dock"
,Starting Techs,Antimass Deflectors (0)
Special Unit (Space Dock),Unit Name,Floating Factory I
,Unit Type,Space Dock (Unique)
,Unit Move,1
,Unit Capacity,4
,Unit Production,5
,Unit Abilities,Placed in a space area instead of on a planet. Can move and retreat as if it were a ship. Destroyed if blockaded.
Faction Tech 1,Tech Name,Chaos Mapping
,Tech Prerequisite,(B)
,Tech Effect 1 (Safety),Other players cannot activate asteroid fields that contain 1 or more of your ships.
,Tech Effect 2 (Production),"At the start of your turn during the action phase, you may produce 1 unit in a system that contains at least 1 of your units that has PRODUCTION."
Faction Tech 2,Tech Name,Floating Factory II
,Tech Prerequisite,(YY)
,Tech Type,Space Dock Upgrade
,Tech Move,2
,Tech Capacity,5
,Tech Production,7
Breakthrough (TE),BT Name,Deorbit Barrage
,BT Prerequisite,B$\leftrightarrow$R
,BT Effect,ACTION: Exhaust this card and spend any amount of resources to choose a planet up to 2 systems away from an asteroid field that contains your ships; roll a number of dice equal to the amount spent and assign 1 hit to a ground force on that planet for each roll of 4 or greater.
Flagship,Ship Name,Son of Ragh
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,Sustain Damage. ANTI-FIGHTER BARRAGE 6 (x4).
Mech,Mech Name,Scavenger Zeta
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. DEPLOY: After you gain control of a planet, you may spend 1 trade good to place 1 mech on that planet."
Agent,Agent Name,Captain Mendosa
,Agent Effect,After a player activates a system: You may exhaust this card to increase the move value of 1 of that player's ships to match the move value of the ship on the game board that has the highest move value.1
Commander,Commander Name,Rowl Sarring
,Commander Unlock,Have 3 space docks on the game board.
,Commander Effect,When you produce fighters or infantry: You may place each of those units at any of your space docks that are not blockaded.
Hero,Hero Name,Gurno Aggero
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Armageddon Relay
,Hero Effect,"ACTION: Choose 1 system that is adjacent to 1 of your space docks. Destroy all other players' infantry and fighters in that system. Then, purge this card."
,,
Faction Core,Faction Name,Council Keleres (Codex 3)
,Home System Name,"Argent Flight, Mentak Coalition, or Xxcha Kingdom Home System + Keleres - Legendary"
,Home System Planets,"Argent (0/2, 2/0, 1/1), Mentak (4/1), Xxcha (2/3, 1/1). Legendary: Custodia Vigilia: 2/3."
,Custodia Vigilia Ability,"While you control Mecatol Rex, it gains SPACE CANNON 5 and PRODUCTION 3. Gain 2 command tokens when another player scores VP using Imperial."
,Commodities,2
Faction Abilities,Ability 1 Name,The Tribunii
,Ability 1 Effect,"During setup, choose an unplayed faction from among the Mentak, the Xxcha, and the Argent Flight; take that faction's home system, command tokens, and control markers. Additionally, take the Keleres hero that corresponds to that fac1tion."
,Ability 2 Name,Council Patronage
,Ability 2 Effect,"Replenish your commodities at the start of the strategy phase, then gain 1 trade good."
,Ability 3 Name,Law's Order
,Ability 3 Effect,You may spend 1 Trade Good or Commodity to treat all laws as blank until the end of the turn.
Promissory Note,PN Name,Keleres Rider
,PN Text,"After an agenda is revealed: You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, draw 1 action card and gain 2 trade goods. Then, return this card to the Keleres player."
Starting Assets,Starting Fleet Units,"2 Carriers, 1 Cruiser, 2 Fighters, 2 Infantry, 1 Space Dock"
,Starting Techs,Choose 2 non-faction technologies owned by other players
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Executive Order
,Tech Prerequisite,(Y)
,Tech Effect,ACTION: Exhaust this card and draw the top or bottom card of the agenda deck. Players immediately vote on this agenda as if you were the speaker; you can spend trade goods and resources on this agenda as if they were votes.
Faction Tech 2 (TE),Tech Name,Agency Supply Network
,Tech Prerequisite,(YY)
,Tech Effect,"Once per action, when you resolve a unit's PRODUCTION ability, you may resolve another of your unit's PRODUCTION abilities in any system."
Breakthrough (TE),BT Name,I.I.H.Q. Modernization
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect,"When you gain this card, gain the Custodia Vigilia planet card and its legendary planet ability card. You are neighbours with all players that have units or control planets in or adjacent to the Mecatol Rex system."
Flagship,Ship Name,Artemiris
,Ship Cost,8
,Ship Combat,7 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,Sustain Damage. Other players must spend 2 influence to activate the system that contains this ship.
Mech,Mech Name,Omiopiares
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,Sustain Damage. Other players must spend 1 influence to commit ground forces to the planet that contains this unit.
Agent,Agent Name,Xander Alexin Victori III
,Agent Effect,At any time: You may exhaust this card to allow any player to spend commodities as if they were trade goods.
Commander,Commander Name,Suffi An
,Commander Unlock,Spend 1 trade good after you play an action card that has a component action
,Commander Effect,After you perform a component action: You may perform an additional action.
Hero (Argent),Hero Name,Argent Flight - Overwing Zeta
,Hero Ability Name,Artemiris Ascendant
,Hero Effect,"Start of space combat in a system that contains a planet you control: Place your flagship and up to a total of 2 cruisers and/or destroyers from your reinforcements in the active system. Then, purge this card."
Hero (Mentak),Hero Name,Mentak Coalition - Harka Leeds
,Hero Ability Name,Erwan's Covenant
,Hero Effect,"ACTION: Reveal cards from the action deck until you reveal 3 action cards that have component actions. Draw those cards and shuffle the rest back into the action card deck. Then, purge this card."
Hero (Xxcha),Hero Name,Xxcha Kingdom - Odlynn Myrr
,Hero Ability Name,Operation Archon
,Hero Effect,"After an agenda is revealed: You may cast up to 6 additional votes on this agenda. Predict aloud an outcome of this agenda. For each player that votes for another outcome, gain 1 trade good and 1 command token. Then, purge this card."
,,
Faction Core,Faction Name,Embers of Muaat
,Home System Name,Muaat
,Home System Planets,4/1
,Commodities,4
Faction Abilities,Ability 1 Name,Star Forge
,Ability 1 Effect,ACTION: Spend 1 token from your strategy pool to place either 2 fighters or 1 destroyer from your reinforcements in a system that contains 1 or more of your war suns.
,Ability 2 Name,Gashlai Physiology
,Ability 2 Effect,Your ships can move through supernovas.
Promissory Note,PN Name,Fires of the Gashlai
,PN Text,"ACTION: Remove 1 token from the Muaat player's fleet pool and return it to his reinforcements. Then, gain your war sun unit upgrade technology card. Then, return this card to the Muaat Player."
Starting Assets,Starting Fleet Units,"1 War Sun, 2 Fighters, 4 Infantry, 1 Space Dock"
,Starting Techs,Plasma Scoring (0)
Special Unit (War Sun),Unit Name,Prototype War Sun I
,Unit Type,War Sun (Unique)
,Unit Cost,12
,Unit Combat,3 (x3)
,Unit Move,1
,Unit Capacity,6
,Unit Bombardment,3 (x3)
,Unit Abilities,Sustain Damage. Other players units in this system lose the Planetary Shield ability.
Faction Tech 1,Tech Name,Prototype War Sun II (Codex 1)
,Tech Prerequisite,(RRRY)
,Tech Type,War Sun Upgrade
,Tech Cost,10
,Tech Combat,3 (x3)
,Tech Move,3
,Tech Capacity,6
,Tech Bombardment,3 (x3)
,Tech Abilities,Sustain Damage. Other players units in this system lose the Planetary Shield ability.
Faction Tech 2 (Codex 1),Tech Name,Magmus Reactor $\Omega$
,Tech Prerequisite,(RR)
,Tech Effect 1 (Movement),Your ships can move into supernovas.
,Tech Effect 2 (Production),Each supernova that contains 1 or more of your units gains the PRODUCTION 5 ability as if it were 1 of your units.
Breakthrough (TE),BT Name,Stellar Genesis
,BT Prerequisite,R$\leftrightarrow$Y
,BT Effect (Immediate),"When you gain this card, place the Avernus planet token into a non-home system that is adjacent to a planet you control; gain control of and ready it."
,BT Effect (Movement),"After you move 1 of your war suns out of or through Avernus's system and into a non-home system, you may move the Avernus token with it."
,BT Effect (Avernus Legendary Ability),ACTION: Exhaust this card to use the Embers of Muaat's STAR FORGE faction ability without spending a command token. (Avernus planet is 2/0)
Flagship,Ship Name,The Inferno
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,Sustain Damage. ACTION: Spend 1 token from your strategy pool to place 1 cruiser in this unit's system.
Mech,Mech Name,Ember Colossus
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. When you use your Star Forge faction ability in this system or an adjacent system, you may place 1 infantry from your reinforcements with this unit."
Agent,Agent Name,Umbat
,Agent Effect,ACTION: Exhaust this card to choose a player; that player may produce up to 2 units that each have a cost of 4 or less in a system that contains one of their war suns or their flagship.
Commander,Commander Name,Magmus
,Commander Unlock,Produce a war sun.
,Commander Effect,After you spend a token from your strategy pool: You may gain 1 trade good.
Hero,Hero Name,Adjudicator Ba'al
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Nova Seed
,Hero Effect,"After you move a war sun into a non-home system other than Mecatol Rex: You may destroy all other players' units in that system and replace that system tile with the Muaat supernova tile. If you do, purge this card and each planet card that corresponds to the replaced system til1e."
,,
Faction Core,Faction Name,Emirates of Hacan
,Home System Name,Hercant / Arretze / Kamdorn
,Home System Planets,"1/1, 2/0, 0/1"
,Commodities,6
Faction Abilities,Ability 1 Name,Masters of Trade
,Ability 1 Effect,"You do not have to spend a command token to resolve the secondary ability of the ""Trade"" strategy card."
,Ability 2 Name,Guild Ships
,Ability 2 Effect,You can negotiate transactions with players who are not your neighbor.
,Ability 3 Name,Arbiters
,Ability 3 Effect,"When you are negotiating a transaction, action cards can be exchanged as part of that transaction."
Promissory Note,PN Name,Trade Convoys
,PN Text,"ACTION: Place this card faceup in your play area. While this card is in your play area, you may negotiate transactions with players who are not your neighbor. If you activate a system that contains 1 or more of the Hacan player's units, return this card to the Hacan player."
Starting Assets,Starting Fleet Units,"2 Carriers, 1 Cruiser, 2 Fighters, 4 Infantry, 1 Space Dock"
,Starting Techs,"Antimass Deflectors (0), Sarween Tools (0)"
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Quantum Datahub Node
,Tech Prerequisite,(YYY)
,Tech Effect,"At the end of the strategy phase, you may spend 1 token from your strategy pool and give another player 3 of your trade goods. If you do, give 1 of your strategy cards to that player and take 1 of his strategy cards."
Faction Tech 2,Tech Name,PRODUCTION Biomes
,Tech Prerequisite,(GG)
,Tech Effect,ACTION: Exhaust this card and spend 1 token from your strategy pool to gain 4 trade goods and choose 1 other player; that player gains 2 trade goods.
Breakthrough (TE),BT Name,Auto-Factories
,BT Prerequisite,R$\leftrightarrow$Y
,BT Effect,"When you produce 3 or more non-fighter ships, place 1 command token from your reinforcements into your fleet pool."
Flagship,Ship Name,Wrath of Kenara
,Ship Cost,8
,Ship Combat,7 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. After you roll a die during a space combat in this system, you may spend 1 trade good to apply +1 to the result."
Mech,Mech Name,Pride of Kenara
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. This planet's planet card may be traded as part of a transaction; if you do, move all of your units from this planet to another planet you control."
Agent,Agent Name,Carth of the Golden Sands
,Agent Effect,During the action phase: You may exhaust this card to gain 2 commodities or replenish another player's commodities.
Commander,Commander Name,Gila the Silvertongue
,Commander Unlock,Have 10 trade goods.
,Commander Effect,When you cast votes: You may spend any number of trade goods; cast 2 additional votes for each trade good spent.
Hero,Hero Name,Harrugh Gefhara
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Galactic Securities Net
,Hero Effect,"When 1 or more of your units use PRODUCTION: You may reduce the cost of each of your units to 0 during this use of PRODUCTION. If you do, purge this card."
,,
Faction Core,Faction Name,Empyrean (POK)
,Home System Name,The Dark
,Home System Planets,3/4 (Nebula)
,Commodities,4
Faction Abilities,Ability 1 Name,Voidborn
,Ability 1 Effect,Nebulae do not affect your ships' movement.
,Ability 2 Name,Aetherpassage
,Ability 2 Effect,"After a player activates a system, you may allow that player to move their ships through system that contain your ships."
,Ability 3 Name,Dark Whispers
,Ability 3 Effect,"During setup, take the additional Empyrean faction promissory note; you have 2 faction promissory notes."
Promissory Note 1,PN Name,Blood Pact
,PN Text,"ACTION: Place this card faceup in your play area. When you and the Empyrean player cast votes for the same outcome, cast 4 additional votes for that outcome. If you activate a system that contains 1 or more of the Empyrean player's units, return this card to the Empyrean player."
Promissory Note 2,PN Name,Dark Pact
,PN Text,"ACTION: Place this card faceup in your play area. When you give a number of commodities to the Empyrean player equal to your maximum commodity value, you each gain 1 trade good. If you activate a system that contains 1 or more of the Empyrean player's units, return this card to the Empyrean player."
Starting Assets,Starting Fleet Units,"2 Carriers, 1 Destroyer, 2 Fighters, 4 Infantry, 1 Space Dock"
,Starting Techs,Dark Energy Tap (0)
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Aetherstream
,Tech Prerequisite,(BB)
,Tech Effect,"After you or one of your neighbors activates a system that is adjacent to an anomaly, you may apply +1 to move value of all of that player's ships during this tactical action."
Faction Tech 2,Tech Name,Voidwatch
,Tech Prerequisite,(G)
,Tech Effect,"After a player moves ships into a system that contains 1 or more of your units, they must give you 1 promissory note from their hand, if able."
Breakthrough (TE),BT Name,Void Tether
,BT Prerequisite,B$\leftrightarrow$G
,BT Effect,"When you activate a system that contains or is adjacent to a unit or planet you control, you may place or move 1 of your void tether tokens onto a border that system shares with another system; other players do not treat those systems as adjacent to each other unless you allow it."
Flagship,Ship Name,Dynamo
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. After any player's unit in this system or an adjacent system uses Sustain Damage, you may spend 2 influence to repair that unit."
Mech,Mech Name,Watcher
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,Sustain Damage. You may remove this unit from a system that contains or is adjacent to another player's units to cancel an action card played by that player.
Agent,Agent Name,Acamar
,Agent Effect,After a player moves ships into a system that does not contain any planets: You may exhaust this card; that player gains 1 command token.
Commander,Commander Name,Xuange
,Commander Unlock,Be neighbors with all other players.
,Commander Effect,After another player moves ships into a system that contains 1 of your command tokens: You may return that token to your reinforcements.
Hero,Hero Name,Conservator Procyon
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Multiverse Shift
,Hero Effect,"ACTION: Place 1 frontier token in each system that does not contain any planets and does not already have a frontier token. Then, explore each frontier token that is in a system that contains 1 or more of your ships. Then, purge this card."
,,
Faction Core,Faction Name,Federation of Sol
,Home System Name,Jord
,Home System Planets,4/2
,Commodities,4
Faction Abilities,Ability 1 Name,Critical Drop
,Ability 1 Effect,ACTION: Spend 1 token from your strategy pool to place 2 infantry from your reinforcements on 1 planet you control.
,Ability 2 Name,Versatile
,Ability 2 Effect,"When you gain command tokens during the status phase, gain 1 additional command token."
Promissory Note,PN Name,Military Support
,PN Text,"At the start of the Sol player's turn: Remove 1 token from the Sol player's strategy pool, if able, and return it to his reinforcements. Then, you may place 2 infantry from your reinforcements on any planet you control. Then, return this card to the Sol player."
Starting Assets,Starting Fleet Units,"2 Carriers, 1 Destroyer, 3 Fighters, 5 Infantry, 1 Space Dock"
,Starting Techs,"Neural Motivator (0), Antimass Deflector (0)"
Special Unit 1 (Carrier),Unit Name,Advanced Carrier I
,Unit Type,Carrier (Unique)
,Unit Cost,3
,Unit Combat,9
,Unit Move,1
,Unit Capacity,6
Special Unit 2 (Infantry),Unit Name,Spec Ops I
,Unit Type,Infantry (Unique)
,Unit Cost,1 (x2)
,Unit Combat,7
Faction Tech 1,Tech Name,Advanced Carrier II
,Tech Prerequisite,(BB)
,Tech Type,Carrier Upgrade
,Tech Move,2
,Tech Capacity,8
,Tech Abilities,Sustain Damage.
Faction Tech 2,Tech Name,Spec Ops II
,Tech Prerequisite,(GG)
,Tech Type,Infantry Upgrade
,Tech Combat,6
,Tech Abilities,"After this unit is destroyed, roll 1 die. If the result is 5 or greater, place the unit on this card. At the start of your next turn, place each unit that is on this card on a planet you control in your home system."
Breakthrough (TE),BT Name,Bellum Gloriosum
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect,"When you produce a ship that has capacity, you may also produce any combination of ground forces or fighters up to that ship's capacity; they do not count against your PRODUCTION limit."
Flagship,Ship Name,Genesis
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,1
,Ship Capacity,12
,Ship Abilities,"Sustain Damage. At the end of the status phase, place 1 infantry from your reinforcements in this system's space area."
Mech,Mech Name,ZS Thunderbolt M2
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. DEPLOY: After you use your Orbital Drop faction ability, you may spend 3 resources to place 1 mech on that planet."
Agent,Agent Name,Evelyn DeLouis
,Agent Effect,At the start of a ground combat round: You may exhaust this card to choose 1 ground force in the active system; that ground force rolls 1 additional die during this combat round.
Commander,Commander Name,Claire Gibson
,Commander Unlock,Control planets that have a combined total of at least 12 resources.
,Commander Effect,At the start of a ground combat on a planet you control: You may place 1 infantry from your reinforcements on that planet.
Hero,Hero Name,"Jace X, 4th Air Legion"
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Helio Command Array
,Hero Effect,"ACTION: Remove each of your command tokens from the game board and return them to your reinforcements. Then, purge this card."
,,
Faction Core,Faction Name,Ghosts of Creuss
,Home System Name,Creuss (Wormhole Gate)
,Home System Planets,Creuss: 4/2 (Delta Wormhole)
,Commodities,4
Faction Abilities,Ability 1 Name,Quantum Entanglement
,Ability 1 Effect,You treat all systems that contain either an alpha or a beta wormhole as adjacent to each other. Game effects cannot prevent you from using this ability.
,Ability 2 Name,Slipstream
,Ability 2 Effect,"During your tactical actions, apply +1 to the move value of each of your ships that starts its movement in your home system or in a system that contains either an alpha or beta wormhole."
,Ability 3 Name,Creuss Gate
,Ability 3 Effect,"When you create the game board, place the Creuss Gate (tile 17) where your home system would normally be placed. The Creuss Gate system is not a home system. Then place your home system (tile 51) in your play area."
Promissory Note,PN Name,Creuss Iff
,PN Text,"At the start of your turn during the action phase: Place or move a Creuss wormhole token into either a system that contains a planet you control or a non-home system that does not contain another player's ships. Then, return this card to the Creuss player."
Starting Assets,Starting Fleet Units,"1 Carrier, 2 Destroyers, 2 Fighters, 4 Infantry, 1 Space Dock"
,Starting Techs,Gravity Drive (B)
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1 (Codex 1),Tech Name,Wormhole Generator $\Omega$
,Tech Prerequisite,(BB)
,Tech Effect,ACTION: Exhaust this card to place or move a Creuss wormhole token into either a system that contains a planet you control or a non-home system that does not contain another player's ships.
Faction Tech 2,Tech Name,Dimensional Splicer
,Tech Prerequisite,(R)
,Tech Effect,"At the start of a space combat in a system that contains a wormhole and 1 or more of your ships, you may produce 1 hit and assign it to 1 of your opponent's ships."
Breakthrough (TE),BT Name,Particle Synthesis
,BT Prerequisite,B$\leftrightarrow$Y
,BT Effect (Production),Each wormhole in a system that contains your ships gains PRODUCTION 1 as if it were a unit you control.
,BT Effect (Cost),Reduce the combined cost of units you produce in systems that contain wormholes by 1 for each wormhole in that system.
Flagship,Ship Name,Hil Colish
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. This ship's system contains a delta wormhole. During movement, this ship may move before or after your other ships."
Mech,Mech Name,Icarus Drive
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. After any player activates a system, you may remove this unit from the game board to place or move a Creuss wormhole token into this system."
Agent,Agent Name,Emissary Taivra
,Agent Effect,"After a player activates a system that contains a non-delta wormhole: You may exhaust this card; if you do, that system is adjacent to all other systems that contain a wormhole during this tactical action."
Commander,Commander Name,Sai Seravus
,Commander Unlock,Have units in 3 systems that contain alpha or beta wormholes.
,Commander Effect,"After your ships move: For each ship that has a capacity value and moved through 1 or more wormholes, you may place 1 fighter from your reinforcements with that ship if you have unused capacity in the active system."
Hero,Hero Name,Riftwalker Meian
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Singularity Reactor: Changing the Ways
,Hero Effect,"ACTION: Swap the positions of any 2 systems that contain wormholes or your units, other than the Creuss system and the wormhole nexus. Then, purge this card."
,,
Faction Core,Faction Name,L1Z1X Mindnet
,Home System Name,[0.0.0]
,Home System Planets,5/0
,Commodities,2
Faction Abilities,Ability 1 Name,Assimilate
,Ability 1 Effect,"When you gain control of a planet, replace each PDS and space dock that is on that planet with a matching unit from your reinforcements."
,Ability 2 Name,Harrow
,Ability 2 Effect,"After each round of ground combat, your ships in the active system may use their BOMBARDMENT abilities against your opponent's ground forces on the planet."
Promissory Note,PN Name,Cybernetic Enhancements $\Omega$ (Codex 1)
,PN Text,"When you gain command tokens during the status phase: Gain 1 additional command token. Then, return this card to the L1Z1X player."
Starting Assets,Starting Fleet Units,"1 Dreadnought, 1 Carrier, 3 Fighters, 5 Infantry, 1 Space Dock, 1 PDS"
,Starting Techs,"Neural Motivator (0), Plasma Scoring (0)"
Special Unit (Dreadnought),Unit Name,Super Dreadnought I
,Unit Type,Dreadnought (Unique)
,Unit Cost,4
,Unit Combat,5
,Unit Move,1
,Unit Capacity,2
,Unit Bombardment,5
,Unit Abilities,Sustain Damage.
Faction Tech 1,Tech Name,Super Dreadnought II
,Tech Prerequisite,(BBY)
,Tech Type,Dreadnought Upgrade
,Tech Combat,4
,Tech Move,2
,Tech Bombardment,4
,Tech Abilities,"Sustain Damage. This unit cannot be destroyed by ""Direct Hit"" action cards."
Faction Tech 2,Tech Name,Inheritance Systems
,Tech Prerequisite,(YY)
,Tech Effect,You may exhaust this card and spend 2 resources when you research a technology; ignore all of that technology's prerequisites.
Breakthrough (TE),BT Name,Fealty Uplink
,BT Prerequisite,R$\leftrightarrow$G
,BT Effect,"When you gain control of a planet, place infantry from your reinforcements equal to that planet's influence value on that planet."
Flagship,Ship Name,[0.0.1]
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,1
,Ship Capacity,5
