Faction Name,Home System,Commodities,Starting Fleet,Starting Technologies,Breaktrough,Component_Type,Component_ID,Full_Rule_Text
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",COMMANDER,Dirzuga Rophal,Dirzuga Rophal:
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",COMMANDER,Unlock,Unlock: Have 12 ground forces on planets you control.
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",COMMANDER,After another player activates a system that contains 1 or more of your units that have PRODUCTION,After another player activates a system that contains 1 or more of your units that have PRODUCTION
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",COMMANDER,You may produce 1 unit in that system.,You may produce 1 unit in that system.
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",HERO,Letani Miasmiala,Letani Miasmiala:
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",HERO,Unlock,Unlock: Have 3 scored objectives.
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",HERO,Ultrasonic Emitter,Ultrasonic Emitter: Overgrowth
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",HERO,ACTION,ACTION: Produce any number of units in any number of systems that contain 1 or more of your ground forces.
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",HERO,"Then, purge this card.","Then, purge this card."
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",PROMISSORY_NOTE,Stymie Ω,Stymie Ω:
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",PROMISSORY_NOTE,After another player moves ships into a system that contains 1 or more of your units,After another player moves ships into a system that contains 1 or more of your units:
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",PROMISSORY_NOTE,You may place 1 command token from that player's reinforcements in any non-home system.,You may place 1 command token from that player's reinforcements in any non-home system.
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",PROMISSORY_NOTE,"Then, return this card to the Arborec player.","Then, return this card to the Arborec player."
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_SUMMARY,Argent Flight,
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_ABILITIES,Zeal,Zeal:
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_ABILITIES,"You always vote first during the agenda phase. When you cast at least 1 vote, cast 1 additional vote for each player in the game, including you.","You always vote first during the agenda phase. When you cast at least 1 vote, cast 1 additional vote for each player in the game, including you."
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_ABILITIES,Raid Formation,Raid Formation:
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_ABILITIES,"When 1 or more of your units use ANTI-FIGHTER BARRAGE, for each hit produced in excess of your opponent's fighters, choose 1 of your opponent's ships that has Sustain Damage to become damaged.","When 1 or more of your units use ANTI-FIGHTER BARRAGE, for each hit produced in excess of your opponent's fighters, choose 1 of your opponent's ships that has Sustain Damage to become damaged."
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,Strike Wing Alpha II,Strike Wing Alpha II (RR):
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,Argent Destroyer,Argent Destroyer
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,Cost,Cost: 1
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,Combat,Combat: 7
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,Move,Move: 2
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,Capacity,Capacity: 1
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,ANTI-FIGHTER BARRAGE 6,ANTI-FIGHTER BARRAGE 6 (x3)
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,"When this unit uses ANTI-FIGHTER BARRAGE, each result of 9 or 10 also destroys 1 of your opponent's infantry in the space area of the active system.","When this unit uses ANTI-FIGHTER BARRAGE, each result of 9 or 10 also destroys 1 of your opponent's infantry in the space area of the active system."
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,Aerie Hololattice,Aerie Hololattice (Y):
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,Other players cannot move ships through systems that contain your structures.,Other players cannot move ships through systems that contain your structures.
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FACTION_TECHNOLOGIES,Each planet that contains 1 or more of your structures gains the PRODUCTION,Each planet that contains 1 or more of your structures gains the PRODUCTION: 1 ability as if it were a unit.
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,SPECIAL_UNITS,Strike Wing Alpha I,Strike Wing Alpha I:
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,SPECIAL_UNITS,Argent Destroyer,Argent Destroyer
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,SPECIAL_UNITS,Cost,Cost: 1
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,SPECIAL_UNITS,Combat,Combat: 8
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,SPECIAL_UNITS,Move,Move: 2
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,SPECIAL_UNITS,Capacity,Capacity: 1
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,SPECIAL_UNITS,ANTI-FIGHTER BARRAGE 9,ANTI-FIGHTER BARRAGE 9 (x2)
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FLAGSHIP,Quetzecoatl,Quetzecoatl:
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FLAGSHIP,Cost,Cost: 8
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FLAGSHIP,Combat,Combat: 7 (x2)
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FLAGSHIP,Move,Move: 1
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FLAGSHIP,Capacity,Capacity: 3
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FLAGSHIP,Sustain Damage,Sustain Damage
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,FLAGSHIP,Other players cannot use SPACE CANNON against your ships in this system.,Other players cannot use SPACE CANNON against your ships in this system.
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,MECH,Aerie Sentinel,Aerie Sentinel:
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,MECH,Cost,Cost: 2
Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"1 Carrier
2 Destroyers
2 Fighters
5 Infantry
1 Space Dock
1 PDS","Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,MECH,Combat,Combat: 6
