Faction_Name,Component_Type,Component_ID,FACTION_NAME,HOME_SYSTEM,COMMODITIES,STARTING_TECHNOLOGIES,BREAKTROUGH,Full_Rule_Text
Arborec,FLAGSHIP,Move,,,,,,Move: 1
Arborec,FLAGSHIP,Capacity,,,,,,Capacity: 5
Arborec,FLAGSHIP,Sustain Damage,,,,,,Sustain Damage
Arborec,FLAGSHIP,"After you activate this system, you may produce up to 5 units in this system.",,,,,,"After you activate this system, you may produce up to 5 units in this system."
Arborec,MECH,Letani Behemoth,,,,,,Letani Behemoth:
Arborec,MECH,Cost,,,,,,Cost: 2
Arborec,MECH,Combat,,,,,,Combat: 6
Arborec,MECH,Sustain Damage,,,,,,Sustain Damage
Arborec,MECH,PRODUCTION,,,,,,PRODUCTION: 2
Arborec,MECH,Planetary Shield,,,,,,Planetary Shield
Arborec,MECH,DEPLOY,,,,,,"DEPLOY: When you would use your Mitosis faction ability, you may replace 1 of your infantry with 1 mech from your reinforcements instead."
Arborec,AGENT,Letani Ospha,,,,,,Letani Ospha:
Arborec,AGENT,ACTION,,,,,,ACTION: Exhaust this card and choose a player's non-fighter ship; that player may replace that ship with one from their reinforcements that costs up to 2 more than the replaced ship.
Arborec,COMMANDER,Dirzuga Rophal,,,,,,Dirzuga Rophal:
Arborec,COMMANDER,Unlock,,,,,,Unlock: Have 12 ground forces on planets you control.
Arborec,COMMANDER,After another player activates a system that contains 1 or more of your units that have PRODUCTION,,,,,,After another player activates a system that contains 1 or more of your units that have PRODUCTION
Arborec,COMMANDER,You may produce 1 unit in that system.,,,,,,You may produce 1 unit in that system.
Arborec,HERO,Letani Miasmiala,,,,,,Letani Miasmiala:
Arborec,HERO,Unlock,,,,,,Unlock: Have 3 scored objectives.
Arborec,HERO,Ultrasonic Emitter,,,,,,Ultrasonic Emitter: Overgrowth
Arborec,HERO,ACTION,,,,,,ACTION: Produce any number of units in any number of systems that contain 1 or more of your ground forces.
Arborec,HERO,"Then, purge this card.",,,,,,"Then, purge this card."
Arborec,PROMISSORY_NOTE,Stymie Ω,,,,,,Stymie Ω:
Arborec,PROMISSORY_NOTE,After another player moves ships into a system that contains 1 or more of your units,,,,,,After another player moves ships into a system that contains 1 or more of your units:
Arborec,PROMISSORY_NOTE,You may place 1 command token from that player's reinforcements in any non-home system.,,,,,,You may place 1 command token from that player's reinforcements in any non-home system.
Arborec,PROMISSORY_NOTE,"Then, return this card to the Arborec player.",,,,,,"Then, return this card to the Arborec player."
Arborec,STARTING_FLEET,1 Carrier,,,,,,1 Carrier
Arborec,STARTING_FLEET,1 Cruiser,,,,,,1 Cruiser
Arborec,STARTING_FLEET,2 Fighters,,,,,,2 Fighters
Arborec,STARTING_FLEET,4 Infantry,,,,,,4 Infantry
Arborec,STARTING_FLEET,1 Space Dock,,,,,,1 Space Dock
Arborec,STARTING_FLEET,1 PDS,,,,,,1 PDS
Argent Flight,FACTION_SUMMARY,Argent Flight,Argent Flight,"Ylir: 0/2
Valk: 2/0
Avar: 1/1",3,"Choose two of the following:
Neural Motivator (0)
Sarween Tools (0)
Plasma Scoring (0)",,
Argent Flight,FACTION_ABILITIES,Zeal,,,,,,Zeal:
Argent Flight,FACTION_ABILITIES,"You always vote first during the agenda phase. When you cast at least 1 vote, cast 1 additional vote for each player in the game, including you.",,,,,,"You always vote first during the agenda phase. When you cast at least 1 vote, cast 1 additional vote for each player in the game, including you."
Argent Flight,FACTION_ABILITIES,Raid Formation,,,,,,Raid Formation:
Argent Flight,FACTION_ABILITIES,"When 1 or more of your units use ANTI-FIGHTER BARRAGE, for each hit produced in excess of your opponent's fighters, choose 1 of your opponent's ships that has Sustain Damage to become damaged.",,,,,,"When 1 or more of your units use ANTI-FIGHTER BARRAGE, for each hit produced in excess of your opponent's fighters, choose 1 of your opponent's ships that has Sustain Damage to become damaged."
Argent Flight,FACTION_TECHNOLOGIES,Strike Wing Alpha II,,,,,,Strike Wing Alpha II (RR):
Argent Flight,FACTION_TECHNOLOGIES,Argent Destroyer,,,,,,Argent Destroyer
Argent Flight,FACTION_TECHNOLOGIES,Cost,,,,,,Cost: 1
Argent Flight,FACTION_TECHNOLOGIES,Combat,,,,,,Combat: 7
Argent Flight,FACTION_TECHNOLOGIES,Move,,,,,,Move: 2
Argent Flight,FACTION_TECHNOLOGIES,Capacity,,,,,,Capacity: 1
Argent Flight,FACTION_TECHNOLOGIES,ANTI-FIGHTER BARRAGE 6,,,,,,ANTI-FIGHTER BARRAGE 6 (x3)
Argent Flight,FACTION_TECHNOLOGIES,"When this unit uses ANTI-FIGHTER BARRAGE, each result of 9 or 10 also destroys 1 of your opponent's infantry in the space area of the active system.",,,,,,"When this unit uses ANTI-FIGHTER BARRAGE, each result of 9 or 10 also destroys 1 of your opponent's infantry in the space area of the active system."
Argent Flight,FACTION_TECHNOLOGIES,Aerie Hololattice,,,,,,Aerie Hololattice (Y):
Argent Flight,FACTION_TECHNOLOGIES,Other players cannot move ships through systems that contain your structures.,,,,,,Other players cannot move ships through systems that contain your structures.
Argent Flight,FACTION_TECHNOLOGIES,Each planet that contains 1 or more of your structures gains the PRODUCTION,,,,,,Each planet that contains 1 or more of your structures gains the PRODUCTION: 1 ability as if it were a unit.
Argent Flight,SPECIAL_UNITS,Strike Wing Alpha I,,,,,,Strike Wing Alpha I:
Argent Flight,SPECIAL_UNITS,Argent Destroyer,,,,,,Argent Destroyer
Argent Flight,SPECIAL_UNITS,Cost,,,,,,Cost: 1
Argent Flight,SPECIAL_UNITS,Combat,,,,,,Combat: 8
Argent Flight,SPECIAL_UNITS,Move,,,,,,Move: 2
Argent Flight,SPECIAL_UNITS,Capacity,,,,,,Capacity: 1
Argent Flight,SPECIAL_UNITS,ANTI-FIGHTER BARRAGE 9,,,,,,ANTI-FIGHTER BARRAGE 9 (x2)
Argent Flight,FLAGSHIP,Quetzecoatl,,,,,,Quetzecoatl:
Argent Flight,FLAGSHIP,Cost,,,,,,Cost: 8
Argent Flight,FLAGSHIP,Combat,,,,,,Combat: 7 (x2)
Argent Flight,FLAGSHIP,Move,,,,,,Move: 1
Argent Flight,FLAGSHIP,Capacity,,,,,,Capacity: 3
Argent Flight,FLAGSHIP,Sustain Damage,,,,,,Sustain Damage
Argent Flight,FLAGSHIP,Other players cannot use SPACE CANNON against your ships in this system.,,,,,,Other players cannot use SPACE CANNON against your ships in this system.
Argent Flight,MECH,Aerie Sentinel,,,,,,Aerie Sentinel:
Argent Flight,MECH,Cost,,,,,,Cost: 2
Argent Flight,MECH,Combat,,,,,,Combat: 6
Argent Flight,MECH,Sustain Damage,,,,,,Sustain Damage
Argent Flight,MECH,This unit does not count against capacity if it is being transported or if it is in a space area with 1 or more of your ships that have capacity values.,,,,,,This unit does not count against capacity if it is being transported or if it is in a space area with 1 or more of your ships that have capacity values.
Argent Flight,AGENT,Trilossa Aun Mirik,,,,,,Trilossa Aun Mirik:
Argent Flight,AGENT,When a player produces ground forces in a system,,,,,,When a player produces ground forces in a system:
Argent Flight,AGENT,You may exhaust this card; that player may place those units on any planets they control in that system and any adjacent systems.,,,,,,You may exhaust this card; that player may place those units on any planets they control in that system and any adjacent systems.
Argent Flight,COMMANDER,Trrakan Aun Zulok,,,,,,Trrakan Aun Zulok:
Argent Flight,COMMANDER,Unlock,,,,,,"Unlock: Have 6 units that have ANTI-FIGHTER BARRAGE, SPACE CANNON, or BOMBARDMENT on the game board."
Argent Flight,COMMANDER,When 1 or more of your units make a roll for a unit ability,,,,,,When 1 or more of your units make a roll for a unit ability:
Argent Flight,COMMANDER,You may choose 1 of those units to roll 1 additional die.,,,,,,You may choose 1 of those units to roll 1 additional die.
Argent Flight,HERO,Mirik Aun Sissiri,,,,,,Mirik Aun Sissiri:
Argent Flight,HERO,Unlock,,,,,,Unlock: Have 3 scored objectives.
Argent Flight,HERO,Helix Protocol,,,,,,Helix Protocol:
Argent Flight,HERO,ACTION,,,,,,"ACTION: Move any number of your ships from any systems to any number of other systems that contain 1 of your command tokens and no other players' ships. Then, purge this card."
Argent Flight,PROMISSORY_NOTE,Strike Wing Ambuscade,,,,,,Strike Wing Ambuscade:
Argent Flight,PROMISSORY_NOTE,When 1 or more of your units make a roll for a unit ability,,,,,,When 1 or more of your units make a roll for a unit ability:
Argent Flight,PROMISSORY_NOTE,Choose 1 of those units to roll 1 additional die.,,,,,,Choose 1 of those units to roll 1 additional die.
Argent Flight,PROMISSORY_NOTE,"Then, return this card to the Argent player.",,,,,,"Then, return this card to the Argent player."
Argent Flight,BREAKTHROUGH,Wing Transfer,,,,,,Wing Transfer: B<>Y
Argent Flight,BREAKTHROUGH,"When you activate a system that contains only your units, you may place command tokens from your reinforcements into any systems adjacent to that system that contain only your units; at the end of this action, you may move ships among the active system and systems adjacent to it that contain your command tokens.",,,,,,"When you activate a system that contains only your units, you may place command tokens from your reinforcements into any systems adjacent to that system that contain only your units; at the end of this action, you may move ships among the active system and systems adjacent to it that contain your command tokens."
Argent Flight,STARTING_FLEET,1 Carrier,,,,,,1 Carrier
Argent Flight,STARTING_FLEET,2 Destroyers,,,,,,2 Destroyers
Argent Flight,STARTING_FLEET,2 Fighters,,,,,,2 Fighters
Argent Flight,STARTING_FLEET,5 Infantry,,,,,,5 Infantry
Argent Flight,STARTING_FLEET,1 Space Dock,,,,,,1 Space Dock
Argent Flight,STARTING_FLEET,1 PDS,,,,,,1 PDS
Barony of Letnev,FACTION_SUMMARY,Barony of Letnev,Barony of Letnev,"Arc Prime: 4/0
Wren Terra: 2/1",2,"Antimass Deflectors (0)
Plasma Scoring (0)",,
Barony of Letnev,FACTION_ABILITIES,Munitions Reserves,,,,,,Munitions Reserves:
Barony of Letnev,FACTION_ABILITIES,"At the start of each round of space combat, you may spend 2 trade goods; you may reroll any number of your dice during that combat round.",,,,,,"At the start of each round of space combat, you may spend 2 trade goods; you may reroll any number of your dice during that combat round."
Barony of Letnev,FACTION_ABILITIES,Armada,,,,,,Armada:
Barony of Letnev,FACTION_ABILITIES,The maximum number of non-fighter ships you can have in each system is equal to 2 more than the number of tokens in your fleet pool.,,,,,,The maximum number of non-fighter ships you can have in each system is equal to 2 more than the number of tokens in your fleet pool.
Barony of Letnev,PROMISSORY_NOTE,War Funding Ω,,,,,,War Funding Ω:
Barony of Letnev,PROMISSORY_NOTE,After you and your opponent roll dice during space combat,,,,,,After you and your opponent roll dice during space combat:
Barony of Letnev,PROMISSORY_NOTE,You may reroll all of your opponent's dice.,,,,,,You may reroll all of your opponent's dice.
Barony of Letnev,PROMISSORY_NOTE,You may reroll any number of your dice.,,,,,,You may reroll any number of your dice.
Barony of Letnev,PROMISSORY_NOTE,"Then, return this card to the Letnev player.",,,,,,"Then, return this card to the Letnev player."
Barony of Letnev,STARTING_FLEET,1 Dreadnought,,,,,,1 Dreadnought
Barony of Letnev,STARTING_FLEET,1 Carrier,,,,,,1 Carrier
Barony of Letnev,STARTING_FLEET,1 Destroyer,,,,,,1 Destroyer
Barony of Letnev,STARTING_FLEET,1 Fighter,,,,,,1 Fighter
Barony of Letnev,STARTING_FLEET,3 Infantry,,,,,,3 Infantry
Barony of Letnev,STARTING_FLEET,1 Space Dock,,,,,,1 Space Dock
Special Units,FACTION_SUMMARY,Special Units,Special Units,,,,,
Special Units,FACTION_TECHNOLOGIES,Radical Advancement,,,,,,Radical Advancement (G):
Special Units,FACTION_TECHNOLOGIES,"At the start of the status phase, you may replace one of your non-unit upgrade technologies with a technology of the same color that has exactly 1 more prerequisite.",,,,,,"At the start of the status phase, you may replace one of your non-unit upgrade technologies with a technology of the same color that has exactly 1 more prerequisite."
Special Units,FACTION_TECHNOLOGIES,Hydrothermal Mining,,,,,,Hydrothermal Mining(G):
Special Units,FACTION_TECHNOLOGIES,"At the start of the status phase, gain 1 trade good for each ocean card in play.",,,,,,"At the start of the status phase, gain 1 trade good for each ocean card in play."
Special Units,FLAGSHIP,D.W.S. Luminous,,,,,,D.W.S. Luminous:
Special Units,FLAGSHIP,Cost,,,,,,Cost: 8
Special Units,FLAGSHIP,Combat,,,,,,Combat: 7 (x2)
Special Units,FLAGSHIP,Move,,,,,,Move: 1
Special Units,FLAGSHIP,Capacity,,,,,,Capacity: 6
Special Units,FLAGSHIP,Sustain Damage,,,,,,Sustain Damage
Special Units,FLAGSHIP,"This ship can move through systems that contain your units, even if other players' units are present; if it would, apply +1 to its move value for each of those systems.",,,,,,"This ship can move through systems that contain your units, even if other players' units are present; if it would, apply +1 to its move value for each of those systems."
Special Units,MECH,Eanautic,,,,,,Eanautic:
Special Units,MECH,Cost,,,,,,Cost: 2
Special Units,MECH,Combat,,,,,,Combat: 6
Special Units,MECH,Sustain Damage,,,,,,Sustain Damage
Special Units,MECH,PRODUCTION 1,,,,,,PRODUCTION 1
Special Units,MECH,"When another player activates this system, if this unit is coexisting, you may move it and any of your infantry on its planet to a planet you control in your home system.",,,,,,"When another player activates this system, if this unit is coexisting, you may move it and any of your infantry on its planet to a planet you control in your home system."
Special Units,AGENT,Doctor Carrina,,,,,,Doctor Carrina:
Special Units,AGENT,When another player researches a technology,,,,,,"When another player researches a technology: You may exhaust this card to allow that player to ignore 1 prerequisite; if they do, you may place 1 infantry from your reinforcements into coexistence on a non-home planet they control."
Special Units,COMMANDER,Aello,,,,,,Aello:
Special Units,COMMANDER,Unlock,,,,,,Unlock: Have an ocean card in play.
Special Units,COMMANDER,When another player spends resources to research a technology,,,,,,"When another player spends resources to research a technology: That player may reduce the cost by 1; if they do, gain 1 commodity or convert 1 of your commodities to a trade good."
Special Units,HERO,Ta Zern,,,,,,Ta Zern:
Special Units,HERO,Unlock,,,,,,Unlock: Have 3 scored objectives.
Special Units,HERO,Wave Function Collapse,,,,,,Wave Function Collapse:
Special Units,HERO,ACTION,,,,,,"ACTION: Purge this card and a non-unit upgrade technology you own or from your deck; then, purge all cards with the same name owned by other players and in other players' decks. Then, each player that purged a technology they owned researches another technology."
Special Units,BREAKTHROUGH,Visionaria Select,,,,,,Visionaria Select: Y<>G
Special Units,BREAKTHROUGH,ACTION,,,,,,"ACTION: Exhaust this card to allow each other player to spend 3 trade goods and give you 1 promissory note. Each player that does may research a non-faction, non-unit upgrade technology. You also gain each technology researched in this way."
Clan of Saar,FACTION_SUMMARY,Clan of Saar,Clan of Saar,"Lisis II: 1/0
Ragh: 2/1",3,Antimass Deflectors (0),,
Clan of Saar,FACTION_ABILITIES,Scavenge,,,,,,Scavenge:
Clan of Saar,FACTION_ABILITIES,"After you gain control of a planet, gain 1 trade good.",,,,,,"After you gain control of a planet, gain 1 trade good."
Clan of Saar,FACTION_ABILITIES,Nomadic,,,,,,Nomadic:
Clan of Saar,FACTION_ABILITIES,You can score objectives even if you do not control the planets in your home system.,,,,,,You can score objectives even if you do not control the planets in your home system.
Clan of Saar,FACTION_TECHNOLOGIES,Chaos Mapping,,,,,,Chaos Mapping (B):
Clan of Saar,FACTION_TECHNOLOGIES,Other players cannot activate asteroid fields that contain 1 or more of your ships.,,,,,,Other players cannot activate asteroid fields that contain 1 or more of your ships.
Clan of Saar,FACTION_TECHNOLOGIES,"At the start of your turn during the action phase, you may produce 1 unit in a system that contains at least 1 of your units that has PRODUCTION.",,,,,,"At the start of your turn during the action phase, you may produce 1 unit in a system that contains at least 1 of your units that has PRODUCTION."
Clan of Saar,FACTION_TECHNOLOGIES,Floating Factory II,,,,,,Floating Factory II (YY):
Clan of Saar,FACTION_TECHNOLOGIES,Saar Space Dock,,,,,,Saar Space Dock
Clan of Saar,FACTION_TECHNOLOGIES,Move,,,,,,Move: 2
Clan of Saar,FACTION_TECHNOLOGIES,Capacity,,,,,,Capacity: 5
Clan of Saar,FACTION_TECHNOLOGIES,PRODUCTION 7,,,,,,PRODUCTION 7
Clan of Saar,FACTION_TECHNOLOGIES,"This unit is placed in a space area instead of on a planet. This unit can move and retreat as if it were a ship. If this unit is blockaded, it is destroyed.",,,,,,"This unit is placed in a space area instead of on a planet. This unit can move and retreat as if it were a ship. If this unit is blockaded, it is destroyed."
Clan of Saar,SPECIAL_UNITS,Floating Factory I,,,,,,Floating Factory I:
Clan of Saar,SPECIAL_UNITS,Saar Space Dock,,,,,,Saar Space Dock
Clan of Saar,SPECIAL_UNITS,Move,,,,,,Move: 1
Clan of Saar,SPECIAL_UNITS,Capacity,,,,,,Capacity: 4
Clan of Saar,SPECIAL_UNITS,PRODUCTION 5,,,,,,PRODUCTION 5
Clan of Saar,SPECIAL_UNITS,"This unit is placed in a space area instead of on a planet. This unit can move and retreat as if it were a ship. If this unit is blockaded, it is destroyed.",,,,,,"This unit is placed in a space area instead of on a planet. This unit can move and retreat as if it were a ship. If this unit is blockaded, it is destroyed."
Clan of Saar,FLAGSHIP,Son of Ragh,,,,,,Son of Ragh:
Clan of Saar,FLAGSHIP,Cost,,,,,,Cost: 8
Clan of Saar,FLAGSHIP,Combat,,,,,,Combat: 5 (x2)
Clan of Saar,FLAGSHIP,Move,,,,,,Move: 1
Clan of Saar,FLAGSHIP,Capacity,,,,,,Capacity: 3
Clan of Saar,FLAGSHIP,Sustain Damage,,,,,,Sustain Damage
Clan of Saar,FLAGSHIP,ANTI-FIGHTER BARRAGE 6,,,,,,ANTI-FIGHTER BARRAGE 6 (x4)
Clan of Saar,MECH,Scavenger Zeta,,,,,,Scavenger Zeta:
Clan of Saar,MECH,Cost,,,,,,Cost: 2
Clan of Saar,MECH,Combat,,,,,,Combat: 6
Clan of Saar,MECH,Sustain Damage,,,,,,Sustain Damage
Clan of Saar,MECH,DEPLOY,,,,,,"DEPLOY: After you gain control of a planet, you may spend 1 trade good to place 1 mech on that planet."
Clan of Saar,AGENT,Captain Mendosa,,,,,,Captain Mendosa:
Clan of Saar,AGENT,After a player activates a system,,,,,,After a player activates a system:
Clan of Saar,AGENT,You may exhaust this card to increase the move value of 1 of that player's ships to match the move value of the ship on the game board that has the highest move value.,,,,,,You may exhaust this card to increase the move value of 1 of that player's ships to match the move value of the ship on the game board that has the highest move value.
Clan of Saar,COMMANDER,Rowl Sarring,,,,,,Rowl Sarring:
Clan of Saar,COMMANDER,Unlock,,,,,,Unlock: Have 3 space docks on the game board.
Clan of Saar,COMMANDER,When you produce fighters or infantry,,,,,,When you produce fighters or infantry:
Clan of Saar,COMMANDER,You may place each of those units at any of your space docks that are not blockaded.,,,,,,You may place each of those units at any of your space docks that are not blockaded.
Clan of Saar,HERO,Gurno Aggero,,,,,,Gurno Aggero:
Clan of Saar,HERO,Unlock,,,,,,Unlock: Have 3 scored objectives.
Clan of Saar,HERO,Armageddon Relay,,,,,,Armageddon Relay:
Clan of Saar,HERO,ACTION,,,,,,ACTION: Choose 1 system that is adjacent to 1 of your space docks. Destroy all other players' infantry and fighters in that system.
Clan of Saar,HERO,"Then, purge this card.",,,,,,"Then, purge this card."
Clan of Saar,PROMISSORY_NOTE,Ragh's Call,,,,,,Ragh's Call:
Clan of Saar,PROMISSORY_NOTE,After you commit 1 or more units to land on a planet,,,,,,After you commit 1 or more units to land on a planet:
Clan of Saar,PROMISSORY_NOTE,"Remove all of the Saar player's ground forces from that planet and place them on a planet controlled by the Saar player. Then, return this card to the Saar player.",,,,,,"Remove all of the Saar player's ground forces from that planet and place them on a planet controlled by the Saar player. Then, return this card to the Saar player."
Clan of Saar,BREAKTHROUGH,Deorbit Barrage,,,,,,Deorbit Barrage: B<>R
Clan of Saar,BREAKTHROUGH,ACTION,,,,,,ACTION: Exhaust this card and spend any amount of resources to choose a planet up to 2 systems away from an asteroid field that contains your ships; roll a number of dice equal to the amount spent and assign 1 hit to a ground force on that planet for each roll of 4 or greater.
Clan of Saar,STARTING_FLEET,2 Carriers,,,,,,2 Carriers
Clan of Saar,STARTING_FLEET,1 Cruiser,,,,,,1 Cruiser
Clan of Saar,STARTING_FLEET,2 Fighters,,,,,,2 Fighters
Clan of Saar,STARTING_FLEET,4 Infantry,,,,,,4 Infantry
Clan of Saar,STARTING_FLEET,1 Space Dock,,,,,,1 Space Dock
Council Keleres,FACTION_SUMMARY,Council Keleres,Council Keleres,"Argent Flight:
Avar: 1/1
Valk: 2/0
Ylir: 0/2
Mentak Coalition:
Mol Primus: 4/1
Xxcha Kingdom:
Archon Ren: 2/3
Archon Tau: 1/1
Keleres - Legendary
Custodia Vigilia: 2/3
While you control Mecatol Rex, it gains SPACE CANNON 5 and PRODUCTION 3.
Gain 2 command tokens when another player scores VP using Imperial.",2,Choose 2 non-faction technologies owned by other players,,
Council Keleres,FACTION_ABILITIES,The Tribunii,,,,,,The Tribunii:
Council Keleres,FACTION_ABILITIES,"During setup, choose an unplayed faction from among the Mentak, the Xxcha, and the Argent Flight; take that faction's home system, command tokens, and control markers. Additionally, take the Keleres hero that corresponds to that faction.",,,,,,"During setup, choose an unplayed faction from among the Mentak, the Xxcha, and the Argent Flight; take that faction's home system, command tokens, and control markers. Additionally, take the Keleres hero that corresponds to that faction."
Council Keleres,FACTION_ABILITIES,Council Patronage,,,,,,Council Patronage:
Council Keleres,FACTION_ABILITIES,"Replenish your commodities at the start of the strategy phase, then gain 1 trade good.",,,,,,"Replenish your commodities at the start of the strategy phase, then gain 1 trade good."
Council Keleres,FACTION_ABILITIES,Law's Order,,,,,,Law's Order:
Council Keleres,FACTION_ABILITIES,You may spend 1 Trade Good or Commodity to treat all laws as blank until the end of the turn.,,,,,,You may spend 1 Trade Good or Commodity to treat all laws as blank until the end of the turn.
Council Keleres,PROMISSORY_NOTE,Keleres Rider,,,,,,Keleres Rider:
Council Keleres,PROMISSORY_NOTE,After an agenda is revealed,,,,,,After an agenda is revealed:
Council Keleres,PROMISSORY_NOTE,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, draw 1 action card and gain 2 trade goods.",,,,,,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, draw 1 action card and gain 2 trade goods."
Council Keleres,PROMISSORY_NOTE,"Then, return this card to the Keleres player.",,,,,,"Then, return this card to the Keleres player."
Council Keleres,STARTING_FLEET,2 Carriers,,,,,,2 Carriers
Council Keleres,STARTING_FLEET,1 Cruiser,,,,,,1 Cruiser
Council Keleres,STARTING_FLEET,2 Fighters,,,,,,2 Fighters
Council Keleres,STARTING_FLEET,2 Infantry,,,,,,2 Infantry
Council Keleres,STARTING_FLEET,1 Space Dock,,,,,,1 Space Dock
Embers of Muaat,FACTION_SUMMARY,Embers of Muaat,Embers of Muaat,Muaat: 4/1,4,Plasma Scoring (0),,
Embers of Muaat,FACTION_ABILITIES,Star Forge,,,,,,Star Forge:
Embers of Muaat,FACTION_ABILITIES,ACTION,,,,,,ACTION: Spend 1 token from your strategy pool to place either 2 fighters or 1 destroyer from your reinforcements in a system that contains 1 or more of your war suns.
Embers of Muaat,FACTION_ABILITIES,Gashlai Physiology,,,,,,Gashlai Physiology:
Embers of Muaat,FACTION_ABILITIES,Your ships can move through supernovas.,,,,,,Your ships can move through supernovas.
Embers of Muaat,FACTION_TECHNOLOGIES,Prototype War Sun II,,,,,,Prototype War Sun II (RRRY):
Embers of Muaat,FACTION_TECHNOLOGIES,Muaat War Sun,,,,,,Muaat War Sun
Embers of Muaat,FACTION_TECHNOLOGIES,Cost,,,,,,Cost: 10
Embers of Muaat,FACTION_TECHNOLOGIES,Combat,,,,,,Combat: 3 (x3)
Embers of Muaat,FACTION_TECHNOLOGIES,Move,,,,,,Move: 3
Embers of Muaat,FACTION_TECHNOLOGIES,Capacity,,,,,,Capacity: 6
Embers of Muaat,FACTION_TECHNOLOGIES,BOMBARDMENT 3,,,,,,BOMBARDMENT 3 (x3)
Embers of Muaat,FACTION_TECHNOLOGIES,Sustain Damage,,,,,,Sustain Damage
Embers of Muaat,FACTION_TECHNOLOGIES,Other players units in this system lose the Planetary Shield ability.,,,,,,Other players units in this system lose the Planetary Shield ability.
Embers of Muaat,FACTION_TECHNOLOGIES,Magmus Reactor Ω,,,,,,Magmus Reactor Ω (RR):
Embers of Muaat,FACTION_TECHNOLOGIES,Your ships can move into supernovas.,,,,,,Your ships can move into supernovas.
Embers of Muaat,FACTION_TECHNOLOGIES,Each supernova that contains 1 or more of your units gains the PRODUCTION 5 ability as if it were 1 of your units.,,,,,,Each supernova that contains 1 or more of your units gains the PRODUCTION 5 ability as if it were 1 of your units.
Embers of Muaat,SPECIAL_UNITS,Prototype War Sun I,,,,,,Prototype War Sun I:
Embers of Muaat,SPECIAL_UNITS,Muaat War Sun,,,,,,Muaat War Sun
Embers of Muaat,SPECIAL_UNITS,Cost,,,,,,Cost: 12
Embers of Muaat,SPECIAL_UNITS,Combat,,,,,,Combat: 3 (x3)
Embers of Muaat,SPECIAL_UNITS,Move,,,,,,Move: 1
Embers of Muaat,SPECIAL_UNITS,Capacity,,,,,,Capacity: 6
Embers of Muaat,SPECIAL_UNITS,BOMBARDMENT 3,,,,,,BOMBARDMENT 3 (x3)
Embers of Muaat,SPECIAL_UNITS,Sustain Damage,,,,,,Sustain Damage
Embers of Muaat,SPECIAL_UNITS,Other players units in this system lose the Planetary Shield ability.,,,,,,Other players units in this system lose the Planetary Shield ability.
Embers of Muaat,FLAGSHIP,The Inferno,,,,,,The Inferno:
Embers of Muaat,FLAGSHIP,Cost,,,,,,Cost: 8
Embers of Muaat,FLAGSHIP,Combat,,,,,,Combat: 5 (x2)
Embers of Muaat,FLAGSHIP,Move,,,,,,Move: 1
